dac_path,label,split
data/codes-mono-win=10/prosound/train/Useful Interface/Acapella/Leave_Menu_Acapella_02_User_Interface_UI-633.dac,interface,train
data/codes-mono-win=10/prosound/train/Useful Interface/Acapella/Mouse_Over_Acapella_03_User_Interface_UI-637.dac,interface,train
data/codes-mono-win=10/prosound/train/Useful Interface/Acapella/Discard_Changes_Acapella_03_User_Interface_UI-622.dac,interface,train
data/codes-mono-win=10/prosound/train/Useful Interface/Acapella/Error_Acapella_03_User_Interface_UI-628.dac,interface,train
data/codes-mono-win=10/prosound/train/Useful Interface/Acapella/Ambience_Loop_Acapella_User_Interface_UI-619.dac,interface,train
data/codes-mono-win=10/prosound/train/Useful Interface/Acapella/Mouse_Over_Acapella_02_User_Interface_UI-636.dac,interface,train
data/codes-mono-win=10/prosound/train/Useful Interface/Acapella/Negative_Acapella_01_User_Interface_UI-638.dac,interface,train
data/codes-mono-win=10/prosound/train/Useful Interface/Acapella/Save_Changes_Acapella_01_User_Interface_UI-641.dac,interface,train
data/codes-mono-win=10/prosound/train/Useful Interface/Acapella/Swipe_Acapella_01_User_Interface_UI-645.dac,interface,train
data/codes-mono-win=10/prosound/train/Useful Interface/Acapella/Affirmative_Acapella_01_User_Interface_UI-616.dac,interface,train
data/codes-mono-win=10/prosound/train/Useful Interface/Acapella/Enter_Menu_Acapella_03_User_Interface_UI-625.dac,interface,train
data/codes-mono-win=10/prosound/train/Useful Interface/Acapella/Mouse_Over_Acapella_01_User_Interface_UI-635.dac,interface,train
data/codes-mono-win=10/prosound/train/Useful Interface/Acapella/Save_Changes_Acapella_03_User_Interface_UI-643.dac,interface,train
data/codes-mono-win=10/prosound/train/Useful Interface/Acapella/Scroll_Loop_Acapella_User_Interface_UI-644.dac,interface,train
data/codes-mono-win=10/prosound/train/Useful Interface/Acapella/Increment_Acapella_01_User_Interface_UI-629.dac,interface,train
data/codes-mono-win=10/prosound/train/Useful Interface/Acapella/Increment_Acapella_02_User_Interface_UI-630.dac,interface,train
data/codes-mono-win=10/prosound/train/Useful Interface/Acapella/Swipe_Acapella_03_User_Interface_UI-647.dac,interface,train
